current_headcount,average_burnout_score,comp_ratio,industry_demand,average_tenure_years,actual_attrition_count
451,79.48,0.89,48.83,2.66,33
159,68.5,1.04,50.79,2.11,10
65,62.47,1.03,65.19,4.52,3
114,65.14,1.13,71.07,4.99,6
255,65.16,0.88,73.19,2.71,21
174,83.81,0.98,49.79,8.02,14
107,70.09,0.98,55.16,3.49,5
459,54.81,0.92,85.94,5.4,33
179,55.21,0.96,75.39,4.41,9
383,88.55,0.99,98.69,7.27,48
120,27.77,1.03,87.24,2.0,7
273,67.82,1.07,80.75,6.35,14
146,69.74,0.94,55.8,6.46,5
105,76.33,1.25,86.03,6.45,7
491,44.22,0.97,86.02,2.28,40
123,52.41,1.14,41.42,4.94,4
362,68.78,1.0,65.69,3.76,15
386,67.6,0.9,100.0,5.75,25
462,41.69,1.15,100.0,3.56,30
150,45.64,1.04,70.01,4.15,10
157,91.4,0.85,66.07,5.1,19
266,48.59,1.09,92.17,5.34,13
125,72.25,0.95,91.34,6.8,8
404,40.04,1.1,58.67,4.61,18
74,89.34,1.17,51.15,7.73,6
397,59.17,1.24,47.17,5.81,20
210,51.17,0.99,100.0,2.73,9
189,65.64,1.05,100.0,6.51,13
353,96.34,1.1,79.25,2.14,32
236,64.81,1.07,85.67,5.39,12
93,53.91,0.94,73.93,6.52,4
271,49.66,0.94,100.0,7.29,20
406,59.28,1.05,78.56,3.94,15
427,77.35,1.07,73.11,0.83,32
471,72.53,1.04,87.61,5.68,32
63,50.78,1.06,71.42,2.71,3
306,73.15,1.2,95.81,3.71,18
263,67.77,1.09,53.31,5.67,12
490,34.1,0.98,100.0,0.5,45
358,77.25,1.06,86.72,3.02,25
289,28.65,0.83,60.57,0.55,31
216,61.32,1.09,90.18,2.6,15
135,67.14,1.06,65.35,4.56,6
291,62.26,0.95,46.32,7.01,12
88,52.51,0.73,57.4,3.52,7
332,75.77,0.95,73.29,4.42,21
106,62.49,1.12,65.75,3.46,3
275,80.01,1.03,95.8,1.92,39
79,41.77,0.92,64.8,7.7,4
373,71.86,1.09,51.64,3.21,15
189,57.03,1.09,69.39,6.35,13
62,49.05,0.93,50.9,4.57,3
157,68.36,0.99,77.87,3.02,8
440,66.86,1.07,74.42,2.48,19
446,86.4,1.07,75.59,2.6,41
227,63.75,1.12,50.69,7.86,13
277,43.03,0.98,100.0,5.63,15
470,64.81,1.01,62.59,1.29,31
172,72.03,1.06,56.04,7.86,5
358,42.32,0.91,70.13,3.39,24
333,46.58,0.98,73.24,4.83,18
127,62.62,0.91,45.0,5.63,7
356,68.02,1.06,58.2,4.24,18
132,53.88,0.94,67.35,3.75,4
150,57.14,1.11,66.26,3.15,5
154,60.54,1.26,62.38,3.42,8
165,61.87,0.98,32.2,3.59,6
417,91.94,1.08,82.72,1.25,54
281,64.0,0.97,71.97,4.81,13
100,82.39,1.0,26.58,3.47,10
76,69.46,0.85,17.39,5.28,6
263,76.87,1.04,82.5,5.26,16
133,58.28,0.81,72.25,6.79,10
463,47.72,1.04,100.0,4.72,37
104,58.37,1.0,76.14,8.13,4
493,67.94,1.19,95.57,5.81,37
220,63.01,0.98,88.73,1.08,25
315,78.44,1.0,68.68,7.49,18
54,66.77,1.02,48.2,2.53,2
433,75.32,1.16,62.03,6.87,28
286,59.22,0.83,71.48,3.34,22
233,76.97,0.81,70.91,5.62,22
66,57.77,1.04,63.46,4.35,3
201,67.25,1.19,95.73,3.28,13
384,48.04,0.99,66.45,7.38,19
414,56.15,1.07,70.5,1.41,29
195,97.94,1.1,96.07,3.78,22
121,89.47,1.06,54.86,4.02,8
250,51.47,1.08,64.16,4.38,13
253,59.94,0.96,58.5,3.8,11
137,61.33,1.04,57.95,4.67,9
499,96.4,0.85,93.19,6.45,65
168,68.05,1.0,65.02,7.71,6
375,62.91,1.12,61.15,3.82,16
56,48.2,1.05,62.97,5.01,2
101,58.65,0.86,50.52,5.91,6
53,41.03,0.98,90.42,0.86,4
225,47.94,0.91,100.0,4.57,15
204,66.58,0.89,79.96,5.79,13
307,64.7,0.99,94.41,2.35,19
488,80.54,1.03,75.97,4.82,39
62,71.33,1.16,65.99,0.97,4
376,37.94,1.02,44.4,3.6,25
80,64.29,0.84,51.19,3.38,4
483,65.71,1.19,31.26,3.68,15
375,55.96,1.03,82.99,5.66,24
301,69.27,1.0,58.64,2.94,17
163,57.12,1.0,56.55,4.95,5
187,56.81,0.95,37.5,4.88,7
147,66.18,1.11,50.61,4.34,8
350,70.42,1.08,96.11,6.49,19
459,55.89,0.96,56.27,1.63,32
448,73.78,1.05,9.08,5.93,22
231,44.04,1.12,76.42,4.17,13
272,72.67,1.03,57.7,4.58,16
340,63.12,1.08,67.7,3.73,18
497,78.14,1.03,74.88,7.46,23
464,44.16,1.1,55.06,4.59,22
438,68.45,1.14,48.28,7.01,26
285,62.5,0.95,55.8,5.1,14
371,70.56,1.1,80.59,3.57,20
223,62.3,1.05,100.0,3.29,12
496,52.86,1.25,76.54,5.42,35
314,68.01,0.97,44.53,5.17,14
391,57.72,0.99,81.32,4.64,23
481,84.01,1.03,46.86,1.83,45
139,74.93,0.84,61.93,5.51,12
270,49.14,1.06,52.61,3.81,14
422,52.93,0.93,73.93,0.5,30
174,69.85,1.13,95.9,5.59,13
253,72.71,1.0,100.0,4.3,18
498,67.99,0.99,71.58,3.58,27
380,52.73,1.06,44.35,4.45,16
73,71.31,0.94,87.62,4.5,5
487,50.64,1.02,88.37,6.55,31
267,57.38,0.81,74.58,4.41,18
227,49.35,0.84,78.26,4.07,19
75,72.33,0.87,74.95,1.5,6
382,73.77,0.91,58.19,3.35,18
488,62.33,0.91,61.65,5.19,26
421,51.53,1.02,94.35,4.19,28
483,60.2,0.91,55.67,3.12,26
292,23.39,1.05,52.43,5.98,12
292,72.57,0.96,65.72,7.13,10
61,64.14,1.11,54.53,4.76,2
186,57.82,1.23,62.55,5.72,6
219,48.65,0.99,63.99,2.49,11
221,77.28,1.02,100.0,2.83,15
147,63.0,0.96,76.39,3.49,6
79,74.82,0.93,56.88,2.88,3
52,52.81,0.88,100.0,3.37,5
494,71.07,0.91,87.51,5.89,30
118,49.11,1.18,60.78,2.96,6
211,55.8,1.02,80.92,0.5,18
175,67.37,0.96,88.2,6.26,11
253,90.95,0.85,46.72,8.16,28
304,54.95,1.04,47.55,5.73,12
324,86.63,0.95,71.12,3.88,32
219,22.44,1.08,86.93,2.19,14
121,74.6,0.87,63.86,6.9,10
210,59.07,0.93,71.21,3.92,10
331,34.74,0.72,86.28,4.76,32
265,85.84,1.16,83.57,3.06,29
495,69.23,0.98,77.34,4.23,35
327,73.35,0.99,88.67,1.86,28
232,56.52,0.95,84.37,4.18,14
279,89.98,0.97,68.38,3.73,27
241,51.15,1.02,44.84,5.96,14
140,75.98,1.0,51.07,4.36,6
73,87.07,0.93,49.26,5.83,5
365,50.75,0.92,64.6,2.39,22
201,60.59,1.03,78.67,3.48,9
372,66.85,1.08,75.26,2.58,19
370,73.66,0.99,98.14,3.53,29
176,64.42,0.89,95.76,5.71,16
499,73.49,0.94,60.74,6.04,25
210,47.34,0.93,39.35,4.55,11
60,75.84,1.01,90.14,5.54,4
398,60.45,1.09,81.5,2.87,29
170,63.68,1.16,78.13,2.58,8
445,63.22,0.92,73.9,7.02,25
327,69.34,0.91,82.53,5.3,29
65,68.81,0.98,53.47,5.67,3
186,71.55,1.01,75.8,5.69,8
257,57.67,1.07,77.68,2.51,13
65,49.87,0.99,93.09,4.19,4
326,67.23,1.0,84.75,4.6,24
325,85.04,1.04,91.66,3.37,34
67,62.59,1.07,72.75,5.3,3
375,64.0,1.15,55.33,3.88,15
302,57.19,0.86,64.79,5.97,25
65,34.24,1.07,80.14,4.39,3
346,54.38,0.82,69.6,3.83,28
486,64.15,0.97,56.49,6.81,17
275,69.5,0.89,100.0,5.61,30
248,84.81,0.91,82.55,3.94,26
281,62.24,0.95,63.4,4.94,11
396,75.2,0.98,35.84,5.16,23
369,84.23,0.86,72.69,3.98,41
316,73.82,1.06,31.77,4.69,14
150,53.62,1.03,65.51,3.29,6
133,62.02,0.91,73.74,5.68,6
243,86.05,0.94,79.59,0.5,32
442,66.65,1.06,57.27,4.61,19
135,71.23,1.08,69.75,1.68,9
468,67.2,0.95,100.0,7.22,26
286,68.49,1.12,51.62,3.57,25
271,73.76,1.06,55.11,3.67,14
329,53.02,1.01,89.43,6.23,20
91,52.67,0.88,58.61,4.25,6
437,64.85,1.12,56.77,3.64,23
152,60.59,1.0,57.88,6.96,9
408,59.26,1.03,53.53,3.46,25
56,62.34,1.0,21.69,4.55,2
312,37.47,0.89,83.02,5.95,28
58,73.81,1.14,78.95,3.5,2
452,68.58,0.97,81.89,2.99,30
373,97.18,1.09,89.39,5.44,39
335,60.87,0.86,71.76,6.33,26
253,79.74,0.86,81.75,4.09,25
275,54.08,1.14,100.0,4.78,22
286,87.93,1.04,51.66,5.84,28
431,67.97,0.91,71.46,6.62,17
291,63.15,1.03,56.89,4.03,11
188,81.79,0.89,78.29,4.84,27
397,71.59,0.78,59.79,6.78,39
270,69.35,1.03,67.06,5.63,17
390,68.75,0.94,51.42,7.26,18
441,53.49,0.91,21.91,5.13,29
88,52.13,0.98,65.42,2.5,4
317,68.43,1.07,44.52,6.6,17
245,67.98,1.02,100.0,3.04,18
111,57.07,1.0,79.88,5.83,5
488,72.16,0.96,71.84,6.29,17
493,75.89,0.9,61.19,7.08,39
189,46.78,1.05,100.0,6.43,16
158,68.19,1.02,88.03,3.56,11
148,69.65,1.05,75.11,4.51,8
135,57.18,0.98,53.74,6.16,8
347,94.38,0.82,66.25,6.82,41
113,77.15,0.98,75.72,3.85,6
215,39.92,0.93,54.26,5.84,9
128,56.86,0.97,43.18,5.99,6
451,55.2,1.08,88.67,0.98,41
193,57.4,0.92,87.79,7.68,14
443,65.62,1.1,76.69,7.46,17
236,67.04,1.04,83.78,2.53,18
325,66.3,0.96,79.84,4.58,13
103,64.6,0.95,72.52,9.56,5
167,44.12,1.17,67.7,3.81,9
322,48.17,1.0,83.2,6.08,24
268,75.59,1.12,79.67,6.62,13
281,77.08,1.16,75.24,6.09,17
230,64.4,0.86,67.32,5.54,22
445,56.16,1.02,62.81,3.32,16
326,60.12,0.91,56.99,5.72,16
60,52.56,1.01,64.71,5.47,1
190,71.54,1.08,77.85,5.41,6
446,65.75,0.92,83.48,7.88,32
245,74.48,0.94,61.5,6.62,12
252,82.98,0.99,65.77,5.99,23
408,77.54,1.15,71.14,5.41,21
202,33.6,1.11,94.26,6.1,12
188,69.1,0.79,68.16,4.53,16
450,79.6,0.9,58.93,2.2,23
213,63.75,1.01,44.33,7.02,11
210,89.31,1.02,61.07,4.1,19
269,65.09,1.08,82.92,5.01,18
199,81.18,0.92,20.9,4.04,20
201,78.64,1.15,21.51,3.74,10
345,68.04,1.24,86.54,6.82,22
170,39.65,0.98,57.33,5.67,8
342,53.41,0.92,82.85,4.56,15
100,68.63,0.81,93.64,5.78,9
317,62.25,1.18,80.12,2.39,21
338,63.85,0.92,41.16,5.8,22
320,51.71,1.0,99.13,3.9,24
320,78.48,0.91,43.02,3.88,9
51,44.28,0.95,40.34,2.86,1
347,71.53,1.17,92.67,3.46,28
198,57.82,0.92,93.39,3.18,14
335,78.21,0.87,75.27,6.94,28
487,100.0,1.13,100.0,2.1,56
484,65.2,0.96,21.89,5.94,29
436,47.58,1.07,48.41,5.05,27
465,51.92,1.14,38.92,7.41,28
178,60.64,1.01,85.18,5.89,12
442,76.47,0.9,75.68,5.02,18
175,62.45,0.98,37.73,6.36,9
260,86.0,1.04,70.71,3.81,23
237,82.24,0.9,60.97,5.81,21
451,62.82,1.1,78.18,3.39,25
174,82.96,1.06,76.86,7.66,14
490,56.29,1.03,100.0,5.58,32
211,58.65,0.92,60.04,3.47,8
218,98.36,1.16,100.0,5.37,22
134,49.99,1.03,88.3,4.0,7
153,77.0,0.83,65.59,2.34,15
237,82.17,1.06,77.51,4.84,24
366,52.83,0.96,76.38,3.17,15
72,52.13,0.94,64.15,3.12,3
188,43.34,1.14,99.25,4.86,13
483,83.92,0.89,68.64,5.36,61
264,76.29,1.08,48.67,4.6,12
477,80.66,0.96,49.4,2.34,44
325,90.76,1.16,89.3,6.23,29
208,67.66,0.87,26.44,3.1,16
139,35.34,0.88,87.42,7.73,13
463,50.27,0.87,57.88,4.91,38
475,36.61,1.03,46.24,3.71,26
468,66.37,1.16,59.92,2.0,17
364,44.99,0.97,81.74,3.15,28
379,53.45,0.96,30.48,3.36,14
212,18.93,1.08,66.59,0.5,11
68,58.68,1.04,89.6,6.04,5
391,75.32,0.94,68.86,6.87,20
188,64.1,1.02,81.99,7.24,11
53,68.23,1.08,83.61,4.22,4
254,82.1,0.88,100.0,6.46,33
459,55.57,0.97,49.27,4.09,22
491,74.89,0.8,93.21,2.9,54
250,70.84,1.08,71.72,3.33,11
190,70.78,0.93,85.09,6.5,13
383,94.4,1.05,71.66,4.57,25
492,76.18,1.17,55.78,2.62,23
283,55.61,1.01,94.16,0.5,29
101,58.9,1.02,42.36,3.53,5
104,79.88,0.96,58.8,6.74,4
341,72.34,1.18,87.18,4.0,26
160,75.86,0.88,37.92,1.86,14
320,88.31,0.93,56.77,6.01,26
216,88.24,1.08,65.28,5.18,17
100,81.46,1.05,96.02,3.34,10
159,76.37,0.87,92.14,4.22,16
60,41.78,0.9,78.13,4.15,3
165,74.59,1.06,66.85,2.31,7
196,78.22,0.82,7.59,4.92,15
63,33.21,1.12,63.4,4.45,2
270,39.3,1.03,50.04,4.49,12
332,65.62,1.08,66.51,4.55,14
318,42.32,1.22,65.33,1.46,25
346,64.89,1.02,64.08,7.68,17
278,62.2,1.04,64.47,4.73,15
325,62.79,0.8,77.07,8.63,25
348,62.33,1.01,42.31,4.87,15
141,69.05,0.96,100.0,4.41,8
210,67.37,0.98,63.48,5.28,10
376,66.69,1.09,100.0,4.83,29
340,76.13,1.04,60.6,4.91,16
212,77.64,1.03,53.63,4.52,12
461,45.44,1.08,58.81,0.5,38
293,80.02,0.91,12.1,4.46,30
236,85.96,0.83,64.09,4.29,24
125,81.41,0.95,54.73,3.95,11
131,69.72,1.0,40.43,3.52,4
110,62.67,0.8,18.58,0.55,10
247,61.0,1.12,100.0,7.07,8
238,67.25,1.01,52.87,3.03,7
388,61.24,0.9,63.16,2.49,19
218,63.73,0.81,100.0,3.77,23
72,63.29,1.01,35.07,5.16,2
252,65.4,0.97,68.89,5.35,13
397,65.65,0.98,69.49,3.32,19
378,60.67,1.08,78.71,2.91,20
51,55.05,1.01,49.28,6.21,2
331,57.41,0.91,94.59,4.06,23
236,74.51,0.94,71.46,1.25,15
119,59.65,1.12,93.34,2.85,5
427,36.45,1.01,68.95,4.21,21
97,68.14,0.94,100.0,3.72,6
346,80.52,1.31,75.6,4.73,30
114,69.33,0.99,55.57,4.66,6
180,91.73,1.0,45.34,7.28,13
489,43.54,1.09,99.74,2.29,33
92,61.76,1.1,56.47,0.69,6
296,66.17,1.03,62.89,2.99,13
431,72.48,1.19,66.72,5.9,17
268,67.5,0.91,43.32,4.96,16
168,65.53,1.28,22.18,3.84,5
455,81.45,1.07,100.0,6.06,45
203,72.96,1.03,65.24,3.68,13
405,46.45,0.96,55.77,5.45,20
449,82.47,1.02,100.0,3.19,41
254,28.47,1.07,53.7,4.85,9
387,61.02,1.03,93.21,1.56,37
129,64.66,0.99,61.97,4.92,6
255,46.33,0.98,67.61,2.29,14
99,49.62,1.04,79.42,0.5,7
308,100.0,0.85,100.0,1.26,48
70,81.29,0.89,61.69,6.0,8
369,62.55,1.06,50.43,1.74,19
100,84.48,1.26,76.76,5.79,8
235,56.94,0.98,74.35,3.0,9
238,66.61,1.02,100.0,3.88,17
326,74.25,0.96,79.39,4.3,19
343,79.72,1.03,42.18,3.54,16
383,39.66,0.95,72.21,4.76,22
445,82.86,1.16,90.45,3.43,37
254,69.69,0.98,70.39,3.71,13
158,90.07,0.91,80.11,4.33,19
457,71.09,1.04,85.92,3.43,28
145,59.02,1.05,80.12,8.48,10
331,49.06,0.89,86.62,4.82,36
249,82.71,1.04,50.67,2.91,22
228,30.29,1.07,87.72,5.96,14
435,59.75,0.98,64.16,3.69,27
134,65.01,0.94,93.32,1.17,10
307,58.47,1.14,38.49,4.01,15
136,74.09,0.99,82.05,3.61,12
272,77.45,0.88,39.02,4.99,25
159,69.32,0.92,76.52,4.51,10
317,80.01,0.95,88.94,2.67,39
129,78.08,1.17,82.46,4.98,9
324,66.41,0.9,53.39,8.02,26
50,91.19,1.07,68.34,3.55,5
74,51.53,1.11,80.09,3.36,5
430,61.2,0.9,81.19,1.5,56
184,41.27,1.08,58.73,4.43,8
278,67.19,0.99,78.93,4.9,16
218,52.18,1.13,49.24,7.46,10
78,48.85,0.99,100.0,1.23,7
116,67.44,0.89,67.32,3.66,10
258,53.53,0.86,71.39,6.23,16
425,84.6,1.03,59.59,5.53,39
90,56.38,0.96,72.19,7.09,5
130,82.0,0.88,64.06,6.85,14
96,72.93,1.01,90.51,9.78,7
464,37.2,1.02,75.32,4.21,24
64,46.7,0.91,69.21,6.02,3
365,78.01,0.95,81.53,1.48,33
164,71.79,1.09,49.85,8.12,9
388,88.23,1.03,94.43,4.77,42
365,60.0,1.06,37.44,2.91,19
238,65.51,1.03,77.97,4.99,13
156,63.17,0.95,79.59,4.27,8
435,68.5,0.93,58.24,4.96,16
272,70.25,0.97,32.56,2.15,14
238,80.61,0.87,79.61,2.75,28
466,49.53,1.19,84.4,4.71,34
387,71.93,0.88,65.94,2.96,34
66,84.07,1.15,72.85,5.37,6
136,93.03,1.0,53.96,2.21,13
212,56.43,1.07,67.9,1.67,16
221,32.91,0.99,96.55,8.92,14
52,43.51,0.9,81.37,6.17,3
474,46.75,1.11,70.85,1.19,30
280,74.15,0.85,62.48,1.15,28
402,56.44,1.02,79.26,4.77,27
103,70.1,1.11,66.92,4.18,5
170,42.84,0.83,73.93,4.03,13
224,56.94,1.22,51.22,2.64,14
255,43.22,0.95,57.25,5.3,15
305,72.07,1.0,95.57,6.67,18
320,65.69,1.13,74.16,2.36,21
156,50.21,0.84,56.0,4.58,12
234,56.72,0.89,100.0,8.23,20
53,88.73,0.86,33.92,3.73,6
265,57.44,1.06,37.9,2.65,10
460,60.35,0.97,97.4,6.9,32
430,64.28,1.02,35.32,1.31,34
382,54.85,0.94,69.43,2.27,15
264,83.04,1.09,100.0,3.12,32
75,73.31,1.18,48.72,2.79,4
453,47.84,0.89,53.77,5.05,32
191,68.66,0.91,93.52,2.53,13
254,37.95,1.11,25.42,3.7,14
482,69.0,1.06,92.23,2.45,31
203,55.99,1.01,71.47,6.44,12
220,72.41,0.92,62.27,9.28,9
182,74.66,1.02,66.13,4.25,7
346,38.51,1.09,90.38,3.31,22
140,37.14,0.95,29.51,4.11,6
313,77.52,1.05,89.75,2.99,19
51,73.02,1.01,42.43,5.96,3
202,49.36,1.1,92.55,0.61,20
353,58.86,1.02,88.34,5.42,26
177,28.23,0.98,100.0,2.86,16
70,55.1,0.92,89.03,1.01,7
211,60.43,0.95,82.38,7.28,15
413,45.76,1.07,73.56,4.03,19
416,57.63,1.01,97.16,4.37,26
299,51.11,0.99,67.13,4.17,15
382,66.14,0.94,94.71,5.49,22
135,96.36,1.08,69.73,3.81,11
299,35.54,0.95,62.7,3.81,15
368,57.31,1.07,97.81,8.07,24
264,30.48,1.12,57.67,5.49,13
341,70.94,1.01,100.0,1.73,30
308,71.47,1.21,41.23,3.47,15
373,44.89,0.97,99.56,6.53,27
91,59.23,0.9,100.0,6.45,5
452,66.75,0.87,87.6,1.63,55
330,52.79,0.93,63.81,5.92,14
149,76.06,0.93,77.19,4.67,9
182,49.51,1.09,39.24,2.85,12
257,70.47,0.93,44.31,7.45,14
368,61.56,0.87,56.45,2.41,31
172,73.59,0.91,41.66,1.16,11
346,49.75,1.15,94.25,3.25,21
168,44.25,1.09,85.68,2.7,10
120,58.08,0.94,48.18,5.32,5
259,57.2,0.88,92.82,2.14,27
316,39.77,1.14,60.25,5.76,15
266,52.25,0.95,80.61,3.17,18
450,60.28,0.92,64.5,5.12,23
487,57.52,0.93,49.97,3.54,26
384,65.96,1.07,100.0,4.04,21
170,54.13,0.97,37.87,3.75,10
371,45.95,0.83,51.57,2.29,32
436,80.98,0.97,95.37,5.48,42
353,86.37,1.0,97.14,2.48,40
233,37.14,0.86,87.91,1.02,27
299,82.51,1.07,76.02,0.5,27
213,73.68,1.05,100.0,7.01,13
177,77.3,0.95,63.13,7.41,9
292,51.44,0.82,4.91,6.89,18
392,88.5,0.93,66.05,5.61,27
470,63.38,1.11,83.71,7.3,31
227,85.19,0.84,55.3,3.51,24
390,73.74,1.05,44.1,4.94,21
80,64.48,1.05,68.57,4.42,5
130,55.87,0.9,75.07,0.91,12
485,68.68,1.1,96.5,3.08,33
270,34.49,0.88,80.28,7.6,23
332,59.18,0.88,70.02,1.94,29
420,93.34,1.07,48.92,6.55,40
414,64.42,1.09,83.74,5.95,35
270,76.51,1.0,91.79,9.23,15
440,61.62,0.93,67.53,4.51,21
245,48.65,0.99,100.0,5.32,17
191,47.97,1.07,74.8,7.3,8
217,53.59,0.96,77.65,1.88,14
261,64.38,0.84,58.17,5.69,17
330,73.44,0.85,48.54,2.92,28
226,60.46,0.95,100.0,1.96,23
146,74.82,0.92,91.83,6.06,13
294,72.71,0.96,38.23,0.75,21
439,68.91,1.05,75.13,8.53,19
78,71.48,1.09,85.54,4.56,4
427,72.15,0.95,68.09,2.28,16
308,68.16,0.82,56.1,5.45,22
462,60.38,0.92,67.49,6.51,21
326,48.43,0.99,85.99,4.17,26
111,74.13,1.11,69.38,2.53,5
70,93.4,1.11,98.58,7.37,7
234,60.37,0.97,87.07,6.97,15
137,67.89,0.89,100.0,7.32,13
479,56.44,0.98,30.55,6.23,19
154,51.94,1.08,76.64,10.37,6
475,35.22,0.99,44.6,4.06,20
291,51.85,1.02,60.09,3.53,11
261,57.07,0.96,56.67,3.87,14
154,57.7,1.21,73.16,6.14,7
492,62.25,0.94,100.0,4.46,34
266,66.09,1.17,53.54,5.96,9
197,43.08,0.89,100.0,0.85,23
189,77.41,1.01,100.0,2.96,13
109,65.16,0.87,39.52,5.93,8
324,75.6,0.84,65.98,4.71,29
286,78.35,0.94,66.0,7.3,18
300,88.59,0.88,33.25,8.71,41
147,71.89,0.98,36.31,7.73,9
235,75.27,1.04,41.33,2.83,6
497,61.59,1.09,69.59,5.75,27
259,49.6,1.0,47.47,2.77,11
205,60.36,0.89,100.0,2.69,24
424,49.76,0.94,58.7,8.24,17
445,48.18,0.77,94.99,1.56,56
157,82.73,1.17,70.61,2.97,14
473,66.5,1.23,86.04,5.55,36
82,72.03,1.12,91.04,4.76,5
221,54.99,1.16,57.94,2.11,9
249,56.68,1.0,97.96,0.5,19
92,67.7,0.92,40.47,8.11,4
164,63.55,1.01,62.94,4.26,10
298,68.46,0.92,57.52,2.98,13
169,73.12,0.95,100.0,3.43,12
207,79.2,1.01,78.45,3.57,9
95,69.31,1.09,71.66,4.43,5
391,73.89,0.99,84.67,3.05,23
101,58.9,0.91,60.18,1.27,4
328,91.26,1.0,75.15,3.24,30
229,54.24,0.63,71.5,5.43,16
477,62.98,0.83,64.26,6.8,36
129,60.23,0.85,87.38,4.83,12
56,37.42,1.09,62.64,5.91,2
247,82.57,1.03,93.03,4.86,25
215,75.36,1.0,70.08,3.32,12
354,67.32,0.87,50.25,4.11,28
243,67.93,1.05,58.43,4.35,12
232,77.4,1.01,69.71,8.19,8
479,66.67,1.24,75.99,5.03,20
52,90.64,1.19,60.66,7.26,5
381,60.85,0.93,44.92,3.39,13
338,96.37,1.01,86.96,4.28,34
309,60.75,0.95,64.41,4.49,14
383,52.4,1.0,83.88,2.67,25
175,75.61,1.08,100.0,7.21,14
90,86.66,0.98,47.49,4.0,8
110,61.79,1.13,89.61,9.63,7
321,58.54,1.18,70.37,3.69,19
445,89.24,0.94,66.69,4.06,41
313,58.45,0.98,87.28,3.72,15
237,59.86,0.93,57.9,6.11,13
62,57.47,1.05,39.55,6.1,2
329,76.42,1.07,41.37,5.12,20
64,55.45,0.72,91.96,4.56,6
174,67.18,1.14,63.86,1.92,15
320,72.99,0.96,65.88,7.71,9
149,85.47,1.11,42.3,3.01,14
123,75.96,0.97,70.57,2.63,7
221,66.98,1.2,100.0,3.27,16
461,93.12,1.01,32.28,4.61,45
110,77.48,1.04,97.02,9.48,6
118,60.07,0.83,82.39,3.1,11
434,61.7,0.99,72.05,3.9,24
136,59.19,0.91,71.58,4.54,8
297,36.95,0.91,51.92,7.29,14
286,83.71,1.13,32.5,6.38,29
370,58.46,0.92,60.44,4.41,23
405,35.99,0.93,63.29,2.62,14
401,54.27,0.93,78.22,5.55,20
375,27.82,1.0,36.38,5.12,20
214,69.58,0.93,80.25,6.08,13
402,65.47,0.94,47.97,0.5,26
242,89.86,0.96,90.19,5.21,25
326,63.5,1.19,67.72,6.67,16
237,88.33,1.01,45.47,4.66,20
51,61.37,0.97,13.71,6.31,2
317,34.02,1.21,64.34,0.5,22
185,65.5,0.84,76.54,1.79,14
216,61.49,1.09,68.2,5.49,14
453,76.38,1.02,37.26,6.72,27
187,69.22,1.15,44.59,6.81,13
109,59.33,1.24,86.83,2.27,9
495,40.64,0.83,100.0,8.62,43
402,64.87,0.86,90.66,2.22,42
266,49.41,1.17,74.9,5.95,11
237,84.3,0.82,69.44,0.5,34
414,50.05,0.91,66.24,3.79,18
356,54.58,0.96,61.75,3.56,24
169,75.79,1.18,68.34,5.8,7
180,100.0,0.89,63.53,5.37,21
276,77.5,1.02,63.5,4.37,14
388,34.92,1.08,56.54,5.57,27
245,39.23,1.02,88.1,4.05,20
411,54.44,1.02,62.68,3.58,22
325,64.87,0.91,48.25,7.0,19
263,81.09,0.96,59.13,1.82,28
86,55.61,0.9,72.44,3.66,3
480,49.12,1.06,84.42,2.72,29
270,94.69,1.01,92.99,5.49,29
182,63.6,0.99,74.68,5.87,7
440,48.23,1.15,51.44,6.99,23
160,37.86,1.13,71.08,5.35,9
53,59.54,1.12,71.32,1.45,4
326,99.09,1.19,57.32,4.36,29
116,64.45,0.83,70.36,6.92,8
331,71.18,1.1,69.65,1.48,20
342,84.87,0.9,87.25,0.5,49
76,45.95,1.07,42.02,5.09,3
436,53.6,1.07,91.19,3.39,35
92,76.46,0.89,71.87,7.3,6
493,94.72,0.96,94.1,4.79,56
193,78.52,1.13,28.93,5.76,8
395,60.26,1.03,78.78,6.17,24
343,66.17,0.98,71.46,3.3,19
155,86.11,1.04,86.32,2.38,18
405,61.45,0.95,72.55,4.83,21
187,56.74,0.98,100.0,5.69,13
408,53.7,0.91,9.38,5.53,13
130,60.73,0.94,72.57,3.31,6
69,57.19,0.95,75.88,2.95,3
52,57.13,1.04,80.39,1.93,5
325,95.85,1.04,78.16,5.69,26
103,49.16,0.89,51.81,6.02,7
389,44.78,1.0,66.57,2.34,20
63,56.91,0.81,49.84,5.22,5
109,60.59,1.1,80.39,4.94,6
85,63.57,1.17,25.09,4.89,5
495,59.7,0.95,51.6,7.96,30
312,59.6,1.06,86.54,1.48,28
288,30.84,0.89,59.99,3.47,29
344,99.19,0.93,70.71,5.25,28
220,66.97,0.92,71.22,6.35,14
133,91.74,0.98,22.42,5.84,13
408,41.21,0.95,86.21,3.37,19
93,62.21,1.06,64.59,6.79,6
304,51.61,0.93,73.3,6.39,13
303,53.96,0.97,82.2,4.42,23
115,85.24,1.07,44.24,4.61,8
483,82.76,1.03,74.17,3.57,32
285,74.56,1.0,65.31,4.43,17
320,51.98,0.98,39.35,2.24,19
59,78.09,0.83,50.14,3.08,4
76,38.98,0.89,71.03,7.44,6
386,56.16,0.92,79.48,4.59,22
